pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	TA	TC	TG	TT	WW	SS	RR	YY
-73	0.085812	0.0628845	0.067321	0.057778	0.0656105	0.063033	0.031504	0.0686595	0.0673955	0.030215	0.0613475	0.0620415	0.060678	0.069254	0.0616445	0.0848205	0.289088	0.1861	0.281876	0.285767
-72	0.08549	0.064917	0.0679905	0.059464	0.0637765	0.063826	0.030835	0.068114	0.067767	0.0312315	0.0622895	0.06162	0.0559935	0.0684365	0.0610005	0.0872495	0.288197	0.188182	0.283537	0.287626
-71	0.0857125	0.0624135	0.0669245	0.0584225	0.063107	0.0620665	0.0310825	0.067792	0.067767	0.030116	0.0641485	0.062537	0.059389	0.0692045	0.062438	0.086878	0.290402	0.187414	0.284552	0.285941
-70	0.085242	0.0626365	0.0667015	0.06105	0.061992	0.063454	0.0296945	0.0690315	0.070023	0.0305125	0.0627355	0.064768	0.0566625	0.067792	0.0628345	0.08487	0.287825	0.186396	0.284702	0.285147
-69	0.0843495	0.062537	0.06856	0.059265	0.0631075	0.062165	0.03138	0.067197	0.067693	0.0301905	0.063231	0.0604055	0.059092	0.0706425	0.064793	0.0853905	0.288097	0.186966	0.283833	0.285395
-68	0.083928	0.0618675	0.0694035	0.0579515	0.063454	0.062686	0.0321735	0.0677175	0.0671225	0.0317765	0.0625125	0.0627105	0.062017	0.0676685	0.060257	0.0867535	0.29065	0.189149	0.282967	0.284826
-67	0.082317	0.0648175	0.0676185	0.0618185	0.063975	0.0626615	0.029744	0.0673955	0.067222	0.0317025	0.0626365	0.062438	0.060926	0.0675195	0.062661	0.084548	0.28961	0.186744	0.279794	0.282125
-66	0.0840025	0.062835	0.069205	0.060083	0.0639995	0.061694	0.0321985	0.0695765	0.069775	0.0294965	0.06219	0.0610995	0.0570845	0.067891	0.0641735	0.0846965	0.285866	0.185579	0.285172	0.283858
-65	0.0842505	0.061595	0.068833	0.0592405	0.063157	0.063281	0.0300665	0.0672465	0.0677175	0.0327185	0.0636525	0.0645945	0.058175	0.0691305	0.0612235	0.085118	0.286784	0.189719	0.284454	0.284776
-64	0.0845975	0.0612235	0.0656605	0.0587695	0.061273	0.0661065	0.029967	0.068709	0.0678415	0.032818	0.0649415	0.0621655	0.061744	0.066528	0.0633795	0.084275	0.289386	0.193833	0.283041	0.285618
-63	0.085564	0.0641235	0.068238	0.0607775	0.0610005	0.06338	0.0313305	0.0673955	0.067941	0.0295955	0.064669	0.0616945	0.058819	0.0679655	0.0637765	0.08373	0.288891	0.188975	0.286412	0.282471
-62	0.085688	0.058695	0.067668	0.061868	0.0645695	0.063603	0.0320495	0.06628	0.0682135	0.031405	0.0616945	0.0631815	0.059414	0.066949	0.0654125	0.0833085	0.290278	0.188752	0.283264	0.280141
-61	0.083284	0.061645	0.0676435	0.061496	0.061496	0.065462	0.0305375	0.0675195	0.067569	0.033115	0.0620415	0.062909	0.057877	0.068957	0.0660075	0.082441	0.285098	0.191156	0.280538	0.28438
-60	0.0824905	0.061992	0.067792	0.057902	0.0641485	0.0640245	0.029546	0.0686595	0.0673955	0.0305125	0.0662055	0.0637765	0.058745	0.068957	0.0621655	0.085688	0.284826	0.190288	0.283883	0.287329
-59	0.082094	0.0630575	0.068635	0.0583485	0.0604305	0.06167	0.030463	0.0689075	0.0699485	0.032297	0.064917	0.0620165	0.0575795	0.0697995	0.0615455	0.088291	0.286313	0.189347	0.285594	0.288668
-58	0.084399	0.0601575	0.066032	0.059885	0.0639995	0.063603	0.032	0.067941	0.065462	0.0306115	0.065016	0.0648915	0.0579765	0.0685355	0.0656355	0.083854	0.286114	0.191231	0.280909	0.283934
-57	0.0837055	0.062289	0.069056	0.0591665	0.0628345	0.059637	0.0312065	0.072105	0.067544	0.0307855	0.0630825	0.0635535	0.056762	0.069527	0.064	0.0847465	0.284381	0.184712	0.283388	0.286015
-56	0.0839035	0.0614215	0.0693785	0.058026	0.062116	0.0633305	0.0301655	0.0678415	0.068486	0.031628	0.0610005	0.0621155	0.058968	0.069428	0.067172	0.0850185	0.285916	0.186125	0.282769	0.285618
-55	0.083879	0.060232	0.065933	0.059538	0.0638015	0.06571	0.0303145	0.0663295	0.069453	0.0324705	0.0627605	0.0650655	0.05934	0.067792	0.0619175	0.085465	0.288222	0.191256	0.282025	0.285297
-54	0.0845475	0.062711	0.0689075	0.058125	0.0625865	0.0626615	0.030909	0.0691055	0.067842	0.0295955	0.064049	0.0653875	0.058497	0.0675195	0.064074	0.083482	0.284652	0.187215	0.285346	0.282768
-53	0.0848205	0.0637765	0.070023	0.058695	0.0611495	0.059191	0.033363	0.0687585	0.066776	0.0327435	0.063405	0.0606535	0.0593645	0.0684615	0.063752	0.0850685	0.287948	0.188702	0.285025	0.281479
-52	0.085093	0.063504	0.0662055	0.0610995	0.061744	0.0656355	0.0297935	0.065859	0.0682875	0.0317765	0.065016	0.0634795	0.05991	0.0660815	0.061992	0.0845235	0.290626	0.192221	0.284602	0.2821
-51	0.0853165	0.0625125	0.067296	0.0578275	0.0642725	0.062066	0.0310825	0.0688085	0.0697255	0.0318015	0.064099	0.0621655	0.0569355	0.0685855	0.064074	0.0834325	0.283512	0.189049	0.286437	0.282892
-50	0.0839035	0.0632065	0.069428	0.05986	0.0613475	0.0634295	0.0310575	0.069081	0.066528	0.030463	0.0642475	0.061149	0.060951	0.0679655	0.0630575	0.084325	0.28904	0.189198	0.284107	0.284801
-49	0.0857625	0.0623885	0.0668255	0.060331	0.063826	0.060257	0.0307605	0.0698245	0.0692795	0.030612	0.0612235	0.064842	0.059315	0.069279	0.061397	0.084077	0.289486	0.182853	0.283091	0.283438
-48	0.087423	0.0613725	0.0663295	0.057431	0.064297	0.0629335	0.0290505	0.066156	0.065809	0.030042	0.065115	0.064049	0.061323	0.0692545	0.063603	0.085812	0.291989	0.187141	0.284676	0.284156
-47	0.0857375	0.064545	0.0683375	0.0606285	0.0626115	0.0593395	0.0312315	0.067693	0.0667755	0.031405	0.06162	0.064867	0.0584475	0.0686595	0.0615455	0.0865555	0.291369	0.183596	0.282471	0.282247
-46	0.0856385	0.0624875	0.065437	0.059761	0.0649165	0.0596125	0.0318265	0.0725015	0.066974	0.029224	0.0623885	0.0620165	0.0609755	0.067247	0.0634295	0.085564	0.291939	0.183051	0.280438	0.284925
-45	0.086382	0.063231	0.068808	0.059364	0.060901	0.063256	0.029422	0.0671475	0.06514	0.030463	0.0639995	0.0599845	0.0608515	0.06918	0.0647185	0.0871505	0.293748	0.187141	0.28433	0.286734
